section_title,section_type,classification_label,code,descriptor,period,duration,variable1_label,variable1_code,variable1_descriptor,variable2_label,variable2_code,variable2_descriptor,value_type_description,value,value_label,decimals,confidentiality_indicator,confidentiality_label,final_indicator,final_label,last_updated_at_source
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,9,40-44 years,,,,Count,336.000000,,0,,,,,2024-07-15 09:08:00+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,1,0-4 years,,,,Percent,12.800000,percent,1,,,,,2024-07-15 09:08:17+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,10,45-49 years,,,,Percent,4.300000,percent,1,,,,,2024-07-15 09:08:17+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,11,50-54 years,,,,Percent,3.600000,percent,1,,,,,2024-07-15 09:08:17+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,12,55-59 years,,,,Percent,3.300000,percent,1,,,,,2024-07-15 09:08:17+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,13,60-64 years,,,,Percent,3.200000,percent,1,,,,,2024-07-15 09:08:17+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,14,65-69 years,,,,Percent,2.100000,percent,1,,,,,2024-07-15 09:08:17+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,15,70-74 years,,,,Percent,1.400000,percent,1,,,,,2024-07-15 09:08:17+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,16,75-79 years,,,,Percent,0.700000,percent,1,,,,,2024-07-15 09:08:17+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,17,80-84 years,,,,Percent,0.300000,percent,1,,,,,2024-07-15 09:08:17+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,18,85-89 years,,,,Percent,0.100000,percent,1,,,,,2024-07-15 09:08:17+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,19,90 years and over,,,,Percent,0.100000,percent,1,,,,,2024-07-15 09:08:17+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,2,5-9 years,,,,Percent,11.300000,percent,1,,,,,2024-07-15 09:08:17+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,3,10-14 years,,,,Percent,11.700000,percent,1,,,,,2024-07-15 09:08:17+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,4,15-19 years,,,,Percent,11.100000,percent,1,,,,,2024-07-15 09:08:17+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,5,20-24 years,,,,Percent,9.600000,percent,1,,,,,2024-07-15 09:08:17+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,6,25-29 years,,,,Percent,7.500000,percent,1,,,,,2024-07-15 09:08:17+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,7,30-34 years,,,,Percent,6.300000,percent,1,,,,,2024-07-15 09:08:17+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,8,35-39 years,,,,Percent,5.700000,percent,1,,,,,2024-07-15 09:08:17+00
Five-year age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Five year age group,9,40-44 years,,,,Percent,5.100000,percent,1,,,,,2024-07-15 09:08:17+00
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,1,Under 15 years,Gender,1,Male / Tāne,Count,1209.000000,,0,,,,,2024-07-15 09:12:27+00
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,1,Under 15 years,Gender,2,Female / Wahine,Count,1134.000000,,0,,,,,2024-07-15 09:12:27+00
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,1,Under 15 years,Gender,3,Another gender / He ira kē anō,Count,9.000000,,0,,,,,2024-07-15 09:12:27+00
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,2,15-29 years,Gender,1,Male / Tāne,Count,909.000000,,0,,,,,2024-07-15 09:12:27+00
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,2,15-29 years,Gender,2,Female / Wahine,Count,942.000000,,0,,,,,2024-07-15 09:12:27+00
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,2,15-29 years,Gender,3,Another gender / He ira kē anō,Count,6.000000,,0,,,,,2024-07-15 09:12:27+00
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,3,30-64 years,Gender,1,Male / Tāne,Count,1002.000000,,0,,,,,2024-07-15 09:12:27+00
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,3,30-64 years,Gender,2,Female / Wahine,Count,1065.000000,,0,,,,,2024-07-15 09:12:27+00
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,3,30-64 years,Gender,3,Another gender / He ira kē anō,Count,6.000000,,0,,,,,2024-07-15 09:12:27+00
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,4,65 years and over,Gender,1,Male / Tāne,Count,126.000000,,0,,,,,2024-07-15 09:12:27+00
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,4,65 years and over,Gender,2,Female / Wahine,Count,174.000000,,0,,,,,2024-07-15 09:12:27+00
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,4,65 years and over,Gender,3,Another gender / He ira kē anō,Count,0.000000,,0,,,,,2024-07-15 09:12:27+00
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,1,Under 15 years,Gender,1,Male / Tāne,Percent,18.400000,percent,1,,,,,2024-07-15 09:16:49+00
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,1,Under 15 years,Gender,2,Female / Wahine,Percent,17.200000,percent,1,,,,,2024-07-15 09:16:49+00
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,1,Under 15 years,Gender,3,Another gender / He ira kē anō,Percent,0.100000,percent,1,,,,,2024-07-15 09:16:49+00
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,2,15-29 years,Gender,1,Male / Tāne,Percent,13.800000,percent,1,,,,,2024-07-15 09:16:49+00
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,2,15-29 years,Gender,2,Female / Wahine,Percent,14.300000,percent,1,,,,,2024-07-15 09:16:49+00
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,2,15-29 years,Gender,3,Another gender / He ira kē anō,Percent,0.100000,percent,1,,,,,2024-07-15 09:16:49+00
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,3,30-64 years,Gender,1,Male / Tāne,Percent,15.200000,percent,1,,,,,2024-07-15 09:16:49+00
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,3,30-64 years,Gender,2,Female / Wahine,Percent,16.200000,percent,1,,,,,2024-07-15 09:16:49+00
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,3,30-64 years,Gender,3,Another gender / He ira kē anō,Percent,0.100000,percent,1,,,,,2024-07-15 09:16:49+00
